OBJECTID,LuasStop,LINK
1,Red Cow,http://www.luas.ie/red-cow.html
2,Tallaght,http://www.luas.ie/tallaght.html
3,Hospital,http://www.luas.ie/hospital.html
4,Belgard,http://www.luas.ie/belgard.html
5,Kingswood,http://www.luas.ie/kingswood.html
6,Cookstown,http://www.luas.ie/cookstown.html
7,Fettercairn,http://www.luas.ie/fettercairn.html
8,Cheeverstown,http://www.luas.ie/cheeverstown.html
9,Citywest Campus,http://www.luas.ie/citywest-campus.html
10,Fortunestown,http://www.luas.ie/fortunestown.html
11,Saggart,http://www.luas.ie/saggart.html
